step,wealth
0,10000.0
1,9997.20094802886
2,10004.414845801113
3,10068.919023603497
4,10105.39247871784
5,10202.995289032466
6,10226.365945959358
7,10207.435659402909
8,10208.765797834323
9,10153.663956417875
10,9906.835277544336
11,9926.050348673041
12,9942.51009548199
13,9875.45543941271
14,9713.744786690899
15,9676.51421236273
16,9665.463269637436
17,9192.39852342596
18,9081.597961787926
19,9002.836685069287
20,9049.289401428467
21,9083.174122092518
22,9060.231113625872
23,9002.033954012404
24,9007.804305498843
25,8987.324233801564
26,8889.734830798103
27,8968.854054128973
28,8994.742454199659
29,8962.5721804025
30,8966.50840332886
31,8968.32401152138
32,8944.690313844847
33,8932.676932621976
34,8877.684124349633
35,8830.916024337675
36,8846.61776603094
37,8852.889495739139
38,8920.389643694447
39,9040.904610291946
40,8753.356630045122
41,8958.471895834009
42,8905.110793190015
43,8907.496649768525
44,8899.502705409048
45,8897.223178300239
46,8952.562207974364
47,9000.652287502598
48,9018.904504347745
49,8968.186126236089
50,8960.15696251472
51,8999.026144326841
52,9027.17479020405
53,8958.877177202572
54,8956.689328899858
55,8975.018942037868
56,8861.417750671328
57,9039.996968020174
58,8983.939875882203
59,8854.928953155768
60,8639.800757699071
61,8673.69586473138
62,8719.939305007712
63,8633.830216506018
64,8678.13084835219
65,8673.826784257571
66,8933.626985469222
67,8912.383162931124
68,9216.854677007479
69,9245.440393798232
70,9299.936814060084
71,9297.005974925341
72,9310.016699748508
73,9333.312940309523
74,9338.238488504092
75,9345.550706060641
76,9340.926327297053
77,9338.69915216061
78,9367.299605758772
79,9446.516317281363
80,9382.526197554225
81,9502.670544985465
82,9401.815678844463
83,9491.952004991932
84,9373.545794890606
85,9386.339590414329
86,9410.418639119443
87,9461.542569357007
88,9444.729924042305
89,9531.966492072459
90,9387.215941532335
91,9390.153378213845
92,9409.741514951833
93,9415.783677597743
94,9103.233745976031
95,9185.5323132269
96,9138.289844090872
97,9164.836557690185
98,9527.206788430474
99,9524.80870793634
100,9289.34805156468
101,9341.25732979968
102,9374.303668546594
103,9361.754183545794
104,9296.173343026818
105,9327.874163323399
106,9331.94940683322
107,9323.58115394553
108,9169.732173964578
109,9214.876048135264
110,9242.303030262765
111,9209.204889394228
112,9633.533504518437
113,9703.127237751325
114,9714.009347555235
115,9572.531305369817
116,9610.914761890324
117,9653.622339961668
118,9599.180082895618
119,9588.061258033084
120,9610.732230402708
121,9657.76158478182
122,9674.775736104586
123,9770.91209319472
124,10046.731713825264
125,10267.213985476472
126,10132.8482771167
127,10065.272429760636
128,10011.698459991378
129,9843.273039886559
130,9865.737079969334
131,9664.421314918054
132,9655.142241126103
133,9635.722478029664
134,9683.003929131064
135,9641.269797516139
136,9674.2714712477
137,9628.396441079816
138,9666.634535529542
139,9702.931937043515
140,9730.916388537862
141,9709.191308847403
142,9704.549435412577
143,9629.739421232713
144,9464.100043750515
145,8982.829911610606
146,9078.758311716878
147,8988.607553732467
148,9019.331972251282
149,8938.444574527286
150,8588.364466474142
151,8883.884662671204
152,8727.244250940475
153,8674.564923658649
154,8587.404814939091
155,8575.938303157138
156,8529.005306886193
157,8266.612394478358
158,8331.141065384962
159,8199.724180798441
160,8343.376815619034
161,8468.28317644581
162,8618.678967888065
163,8660.534264207578
164,8671.295371168522
165,8657.644301327693
166,9058.774658376784
167,9054.765147376382
168,9000.461208430135
169,9016.182876656827
170,9174.381631199265
171,9207.511034000327
172,9207.905533411593
173,9215.219470310452
174,9131.538664927692
175,9187.94378130008
176,9205.3251285001
177,9096.163302383615
178,9202.464510357193
179,8622.792948418024
180,8692.842302905405
181,9019.68328722821
182,9021.564597694221
183,9029.491468583254
184,9028.275030475002
185,9011.002496282603
186,9076.050501027767
187,9076.858670614478
188,9084.038765384803
189,9095.026079277995
190,8993.686134866666
191,9259.885767374712
192,8928.280002821532
193,8982.402523518589
194,8618.259649768845
195,8807.144548605444
196,8825.199990390618
197,8878.085908139119
198,8876.721825807479
199,8926.937504112426
200,8925.45005776922
201,8904.224553629268
202,8891.110732511483
203,8942.522202399981
204,8895.243821193
205,8852.23268174436
206,8953.742046430734
207,8492.67241517235
208,8152.201827901801
209,8272.971745924697
210,8505.431835935828
211,8520.434478792631
212,8521.30720925264
213,8521.760047439944
214,8409.426803054881
215,8253.263862880349
216,8500.674500689633
217,8656.62876536106
218,8657.582717017762
219,8750.317238182673
220,8954.82522709445
221,8760.738003839862
222,9407.318119209674
223,9449.92964187993
224,9402.171523905936
225,9408.195871994627
226,9456.087890312258
227,9102.083476843003
228,9187.482009297828
229,9255.476837946162
230,9337.12102538442
231,9297.402593961411
232,9248.577732562413
233,9148.179583732517
234,9127.278965423362
235,9161.338433305511
236,9172.727092508574
237,9170.105364289588
238,9178.473037981877
239,9180.185830431896
240,9181.135693031536
241,9190.183751935787
242,9191.617450024636
243,9184.408495101938
244,9206.578027426509
245,9300.624657769422
246,9304.190398516825
247,9282.372517234864
248,9292.51899449792
249,9441.678465961622
250,9568.312468545546
251,9357.827243744254
252,9334.633237512648
