step,wealth
349,11360.943707560731
350,11353.770416057252
351,11301.151856286056
352,11414.875807235667
353,11444.706345995133
354,11424.383366364571
355,11596.652428644511
356,11642.148184674217
357,11489.508307105283
358,11437.509130463874
359,11291.148137575703
360,11208.325959731188
361,11367.697750650012
362,11422.824692997334
363,11393.51334102465
364,11354.135933687783
365,11357.134832813432
366,11292.411962330796
367,11366.929463393359
368,11283.234114298031
369,11257.079970028806
370,11218.512638399006
371,11150.869416084095
372,11186.71803204423
373,11013.200856582758
374,11044.36939488983
375,10997.349960408643
376,11081.647177689327
377,11114.20707416981
378,11112.086925315349
379,11116.00521084677
380,11115.311393869086
381,11100.259563507094
382,11160.455839259677
383,11122.517056105216
384,11125.251385600022
385,11211.527042553442
386,11210.7157718007
387,11179.729699570336
388,11038.020928652637
389,11097.153898594719
390,10847.173118840252
391,10877.630660838035
392,11148.98052723506
393,10916.319474184384
394,10981.83238085006
395,11031.060720445052
396,11298.465152950763
397,11217.41316285856
398,11163.514099421785
399,10860.066741374241
400,10885.130750196644
401,10710.81976889118
402,10699.632678227774
403,10952.42773933913
404,10907.897284972029
405,11130.000168991306
406,10986.390673085865
407,10921.36452793854
408,10926.005953632288
409,11103.67289053515
410,11065.180244414443
411,11162.51127474702
412,11383.354526070372
413,11659.43073949644
414,11695.426214447609
415,11737.185161430267
416,11627.861366628611
417,11725.439036549169
418,11708.997687191566
419,11820.778268255697
420,11691.556903607054
421,11785.317887170599
422,11737.277846623987
423,11426.58753622417
424,11392.103436939224
425,11553.365803640329
426,11164.525079000838
427,11140.443555930859
428,11417.416468790885
429,11396.697963922705
430,11507.87136600424
431,11805.31978665059
432,11795.93978711163
433,11919.090815676913
434,11925.35121713766
435,11975.397424525127
436,11913.81247271757
437,11903.977393047211
438,11885.31271927817
439,12062.001187704233
440,12052.074380107286
441,11913.604205725234
442,11931.662477417542
443,11933.640995787806
444,11931.839951106707
445,11965.78277123509
446,11985.963446374892
447,11986.988087174363
448,11955.35814463847
449,11895.75998109713
450,11967.54269610119
451,11962.799646795092
452,12035.39785261832
453,11882.552947672539
454,11809.89927147795
455,11725.825993011897
456,11761.978763672736
457,11830.733608135428
458,11708.164512614172
459,11716.958061633037
460,11734.870394593006
461,11746.404653714833
462,11777.828172073889
463,11658.22123279128
464,11659.857972999185
465,11526.545183706663
466,11485.338342658697
467,11467.366507056804
468,11536.49407406719
469,11517.183330975371
470,11613.531802322237
471,11686.878565045114
472,11683.772749192955
473,11693.108209437181
474,11726.577541464192
475,11740.481244163726
476,11694.423132573002
477,11604.101182731143
478,11525.683750927115
479,11561.27600682473
480,11452.68566876454
481,11409.390662440925
482,11612.540885636638
483,11665.33402834888
484,11760.706232632943
485,11787.786154487583
486,12051.195679277165
487,12029.66738514507
488,12099.764042332836
489,12172.322189260105
490,12266.353849721618
491,12124.739266424818
492,11911.370958636926
493,11810.895260254818
494,11611.328920574013
495,11495.890181873989
496,11466.506285737234
497,11689.934536955798
498,11477.601647134054
499,11298.731281914126
500,11593.162167194612
501,11884.671766636267
502,11879.238877458765
503,11942.22956084828
504,12112.561995075028
505,12160.408576153113
506,12200.470280500005
507,12160.160696215942
508,12476.918705920967
509,12189.295405462773
510,12498.566256858283
511,12644.563771852
512,12663.05625294639
513,12672.909934002411
514,12689.821554197255
515,12632.583778649376
516,12520.105255707827
517,12568.923099594109
518,12604.05385758689
519,12457.365473962778
520,12503.988709123032
521,12532.880516757525
522,12693.628864161847
523,12562.246215927504
524,12741.767561511755
525,12724.880482118318
526,12707.216780064467
527,12792.273422526772
528,12872.51173978808
529,12773.674540647622
530,12872.790663122312
531,12802.124349478614
532,12852.653064782864
533,12873.861554616913
534,12846.219119454665
535,12871.130954863198
536,12786.62226322565
537,12747.967993019172
538,12751.37722877075
539,12869.238736924484
540,12876.034032266707
541,12798.844975948385
542,12807.361041212085
543,12818.301470396014
544,12941.400951725613
545,12966.698529205156
546,12963.667310491099
547,12988.059802842463
