step,wealth
258,12960.439048119693
259,12998.751797547144
260,13098.650251435834
261,13149.997664390856
262,13184.251540810099
263,13170.583226179893
264,13241.025946934205
265,13252.937656085758
266,13194.093875350138
267,13320.7914730568
268,13347.793969459319
269,13370.735064938728
270,13424.68564949437
271,13506.397096276509
272,13569.896691876393
273,13616.897578342398
274,13628.517827445043
275,13583.395545445972
276,13473.677296385058
277,13478.03587608094
278,13579.37061526052
279,13584.019592086588
280,13637.676473982072
281,13604.50679796808
282,13650.635123924814
283,13626.202368250984
284,13587.78834301031
285,13605.7938786293
286,13642.070986707899
287,13334.365255905319
288,13496.937462261794
289,13231.730888699787
290,13083.940997637412
291,13282.81957699456
292,13166.735260893602
293,13321.756988609113
294,13594.504224405104
295,13630.454736374044
296,13538.115614993307
297,13664.960981679333
298,13543.372044727937
299,13449.871680321798
300,13658.400999738304
301,13537.419761284847
302,13345.093739443246
303,13202.429630842831
304,13434.83428870023
305,13568.498099278095
306,13652.660684543354
307,13844.520698772376
308,13833.202820971192
309,13850.88659499527
310,13812.5426035901
311,13777.688831365549
312,13857.231064297672
313,13852.589067373232
314,13584.00212921021
315,13571.23520897607
316,13517.475012904737
317,13500.64346176592
318,13623.054599728033
319,13659.835725511251
320,13470.313506537304
321,13475.821947972674
322,13235.032192296683
323,13096.886719385942
324,12951.121311330351
325,12694.353587177508
326,12748.149429168421
327,12591.549542892306
328,12559.92012255788
329,12497.74648801827
330,12804.340877871791
331,13032.908724515371
332,13120.674695431153
333,13247.515117849407
334,12932.414721592499
335,12993.082923806753
336,12951.317542493936
337,13057.44338359574
338,13247.168292267485
339,13007.010592712073
340,12747.966957402803
341,12706.221633295621
342,12909.49795258513
343,12923.95913697242
344,12644.893974690409
345,12562.751000957667
346,12427.203449199322
347,12204.78279410014
348,12387.086379399114
349,12657.423224578999
350,12624.997227267357
351,12431.235605529482
352,12657.845112850042
353,12594.671670488422
354,12491.926164249717
355,12118.13796906928
356,12025.911603128832
357,12344.089547745882
358,12288.222710304835
359,12130.975493607903
360,12041.993062634787
361,12303.931770977344
362,12573.781307142865
363,12730.114768008587
364,12829.30088829138
365,12825.548406876236
366,12974.754438082946
367,12806.575076284062
368,12998.185371651753
369,13061.50843986434
370,13154.086545194044
371,13315.81562915616
372,13233.337615846425
373,13028.075325472051
374,13064.94617438667
375,13176.392110571915
376,13008.89642029476
377,12878.161382378727
378,12942.891076921933
379,12908.23574842724
380,12685.697017211143
381,12638.606435499729
382,12782.541304007302
383,12622.376620884657
384,12627.56532058264
385,12829.780005936269
386,12820.263113334764
387,12627.106657115099
388,12275.78710423052
389,12346.751421326186
390,11983.899423403516
391,12017.548754522935
392,12317.334650058048
393,11853.515283607327
394,11924.652652046534
395,11979.19103283962
396,12338.548369066997
397,11892.01830237335
398,11820.823070137747
399,11436.160799496394
400,11462.554379020265
401,11278.996721521464
402,11267.216189159
403,11533.421272151165
404,11486.528610370675
405,11720.413388076464
406,11238.158841019966
407,11169.117562033163
408,11173.991838472804
409,11381.126116262532
410,11293.91178947043
411,11393.254777715856
412,11618.663143838481
413,11900.44620861765
414,11833.485456079226
415,11737.38065944327
416,11958.799035039754
417,11760.908772226845
418,11796.66363289882
419,11909.281121665257
420,11779.092269154702
421,11495.566355875644
422,11157.317413967205
423,10725.442636956466
424,10693.07451063745
425,10844.44168461388
426,10479.460549711415
427,10456.856688893056
428,10716.834313836067
429,10697.387113630168
430,10801.738823447358
431,11139.821724363714
432,11097.18914669173
433,10868.093386727593
434,10859.238844259891
435,10770.654691606434
436,10883.9727541563
437,10904.508557897916
438,10941.274489774112
439,11103.928773921945
440,11094.79044249637
441,10967.318812397527
442,10869.838537778365
443,10812.603123765191
444,10786.312456495574
445,10990.44199160571
446,10899.317713175453
447,11189.900806510583
448,11260.989559570733
449,11375.081916216306
450,11269.050506347165
451,11282.733113049337
452,11148.450850114365
453,11434.24119226754
454,11576.76198328025
455,11744.318464064601
456,11709.489160191317
457,11631.981419913538
458,11812.72051539229
459,11804.737213347446
460,11784.768826078327
461,11771.07986430752
462,11724.243373425994
463,11967.948981434418
464,11967.948981434418
465,12168.858248654793
466,12218.9008223744
467,12242.81034521676
468,12155.601308152716
469,12190.878664862494
470,12025.946552990492
471,11772.892726811455
472,11744.376562386673
473,11781.912191690046
474,11947.080568403095
475,11535.680971978287
476,11459.151184137792
477,11332.659094503397
478,11246.098578238823
479,11281.33145757953
480,11161.745306237512
481,11119.550152402624
482,11317.539612324688
483,11391.27346787639
484,11566.879118936115
485,11690.532734258257
486,11170.816228359605
487,11213.360965180256
488,11085.324460652262
489,10954.98808001679
490,11039.615787325503
491,10912.163847765292
492,10720.134156788816
493,10629.70686929239
494,10450.09883408077
495,10346.204935548678
496,10319.759674988076
497,10520.843230843833
498,10298.745508995804
499,10138.246789216559
500,10402.43689188049
501,10719.87988916654
502,10694.892474726077
503,10583.992677296463
504,10284.56819570649
505,10205.74141310716
506,10140.90311426723
507,10107.398209996907
508,10370.684150066025
509,10131.61467517749
510,10388.677367677265
511,10510.028973020004
512,10435.284863942305
513,10347.41245243195
514,10595.863005409225
515,10724.732437575338
516,10894.63774743673
517,10812.246425958425
518,10754.353944580764
519,11007.211781657856
520,10927.415074697588
521,10879.49333537616
522,10602.974649536036
523,10493.230863615945
524,10643.184852081331
525,10744.509074882299
526,10802.324671050426
527,10577.449675264153
528,11143.314843535032
529,11250.646643331456
530,11154.531516416708
531,11249.2656985949
532,11163.118294879638
533,11128.908962844027
534,11179.324089600781
535,11138.601000151657
536,11287.493628152652
537,11358.39944498466
538,11355.858889646206
539,11173.1915563236
540,11153.984406819567
541,11499.921652990557
542,11491.456075850976
543,11478.190568585933
544,11269.826868076127
545,11106.192618382309
546,11087.282210747984
547,11173.80109216678
548,11090.01700513337
549,11248.762495936144
550,11333.593499629804
551,11260.899400394965
552,10982.013653578246
553,10801.27310921316
554,10709.291425323003
555,10723.93545711246
556,10883.097429655452
557,10726.719833812573
558,10788.245915397245
559,10745.618519375448
560,10611.236292114807
561,10800.54319966128
562,10772.056498379165
563,10726.611266317732
564,10809.10464191027
565,10685.02675791256
566,10927.290107390198
567,10921.093741980392
568,10997.414321272601
569,11135.635773784554
570,11176.104512838298
571,11219.378146842779
572,11198.806862374608
573,11020.589313426939
574,10940.067299730184
575,11141.99544926081
576,11274.887957304598
577,11262.780013577301
578,11267.000654441226
579,11390.153794311107
580,11416.295096282716
581,11272.150544157079
582,11436.681862278863
583,11557.58761255038
584,11724.618176026343
585,11599.328890209881
586,11528.224265098088
587,11678.019788738246
588,11549.620234461594
589,11449.057933989905
590,11475.744744589034
591,11609.674456340692
592,11604.3300145423
593,11641.952660595553
594,11480.54339067827
595,11451.825828414203
596,11219.756332896988
597,11204.28332671339
598,11263.725609912193
599,11142.754996159623
600,11180.640764469488
601,11139.240845824192
602,11096.430057135467
603,11182.396142957126
604,11360.314328533208
605,11368.181387962655
606,11192.572532887145
607,11210.824577590667
608,11002.055087271034
609,10842.144851343719
610,10826.68157472451
611,11004.183553680004
612,10935.143879049667
613,11125.339617569061
614,10952.108593259452
615,11056.916934542056
616,11201.154797911953
617,11008.56869649747
618,11038.288261252845
619,11110.485404790437
620,11131.241139392634
621,11106.226788035663
622,11266.492581838273
623,11332.268205138702
624,11490.877113619323
625,11534.580431525219
626,11470.407006718226
627,11440.33523505697
628,11484.875829335822
629,11496.6580674193
630,11499.745058973409
631,11452.776838214433
632,11603.899029095768
633,11575.519035969533
634,11616.98028110259
635,11624.55520059068
636,11622.590526561638
637,11558.991291353637
638,11567.968277566497
639,11580.029494568727
640,11394.736016961724
641,11346.369758201197
642,11570.034276288694
