Date,open,high,low,close,volume,Log_Return
1999-01-25,0.04427099972963333,0.04583299905061722,0.041016001254320145,0.04531300067901611,510480000.0,0.09963171695915118
1999-01-26,0.04583299905061722,0.046744998544454575,0.04114599898457527,0.04179700091481209,343200000.0,-0.08076939351459433
1999-01-27,0.041926998645067215,0.04296899959445,0.0395830012857914,0.04166699945926666,244368000.0,-0.003115152882500638
1999-01-28,0.04166699945926666,0.041926998645067215,0.0412760004401207,0.04153599962592125,227520000.0,-0.003148923549203708
1999-01-29,0.04153599962592125,0.04166699945926666,0.0395830012857914,0.0395830012857914,244032000.0,-0.048160746433515644
1999-02-01,0.0395830012857914,0.04062499850988388,0.0395830012857914,0.04036499932408333,154704000.0,0.019563290459885252
1999-02-02,0.0395830012857914,0.04062499850988388,0.03606799989938736,0.03723999857902527,264096000.0,-0.08057964185021183
1999-02-03,0.036719001829624176,0.0385419987142086,0.03645800054073334,0.03802099823951721,75120000.0,0.020755178106180328
1999-02-04,0.0385419987142086,0.04114599898457527,0.03802099823951721,0.04010400176048279,181920000.0,0.05333753150130649
1999-02-05,0.040754999965429306,0.04166699945926666,0.03971400111913681,0.0412760004401207,136848000.0,0.02880510405720349
1999-02-08,0.04153599962592125,0.04166699945926666,0.03984399884939194,0.03984399884939194,154080000.0,-0.035309427511246216
1999-02-09,0.04062499850988388,0.04088500142097473,0.03776000067591667,0.03828100115060806,86976000.0,-0.04001808080266578
1999-02-10,0.03828100115060806,0.039322998374700546,0.03723999857902527,0.037891000509262085,148224000.0,-0.010240089292087973
1999-02-11,0.03802099823951721,0.04270799830555916,0.03802099823951721,0.04114599898457527,132240000.0,0.08241306206312204
1999-02-12,0.04166699945926666,0.04374999925494194,0.04166699945926666,0.04349000006914139,109728000.0,0.05540433582590776
1999-02-16,0.04427099972963333,0.04609400033950806,0.039322998374700546,0.04374999925494194,211008000.0,0.005960567574355036
1999-02-17,0.04270799830555916,0.04322899878025055,0.04062499850988388,0.041405998170375824,67728000.0,-0.0550658420946224
1999-02-18,0.04270799830555916,0.04322899878025055,0.04088500142097473,0.04205700010061264,70704000.0,0.015600089767698666
1999-02-19,0.04166699945926666,0.04427099972963333,0.04114599898457527,0.04349000006914139,75360000.0,0.033505184752568695
1999-02-22,0.04427099972963333,0.04479200020432472,0.041405998170375824,0.04374999925494194,205248000.0,0.005960567574355036
1999-02-23,0.04479200020432472,0.046744998544454575,0.042187999933958054,0.04583299905061722,138096000.0,0.046512739197115405
1999-02-24,0.05260400101542473,0.054687999188899994,0.04830700159072876,0.04947900027036667,612768000.0,0.07654400762755609
1999-02-25,0.051562998443841934,0.05312500149011612,0.04713499918580055,0.04791700094938278,149136000.0,-0.03207797527843548
1999-02-26,0.04843800142407417,0.05000000074505806,0.04531300067901611,0.04570300132036209,172608000.0,-0.047306397170098435
1999-03-01,0.046875,0.04791700094938278,0.04374999925494194,0.04596399888396263,92160000.0,0.005694486964840539
